"TimeStamp","Path","Value"
"03_08_2022-17:32:32","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0151797657929305"
"03_08_2022-17:32:33","\\usni25pxed\physicaldisk(0 c:)\% idle time","97.5779572709869"
"03_08_2022-17:32:33","\\usni25pxed\physicaldisk(_total)\% idle time","97.5779572709869"
"03_08_2022-17:32:33","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:33","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000665564864864865"
"03_08_2022-17:32:33","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:33","\\usni25pxed\memory\available mbytes","20858"
"03_08_2022-17:32:33","\\usni25pxed\processor(_total)\% processor time","7.11028752870575"
"03_08_2022-17:32:33","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","25877.6944422024"
"03_08_2022-17:32:33","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:33","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:33","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:33","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:33","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0241761949651284"
"03_08_2022-17:32:33","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0241761949651284"
"03_08_2022-17:32:34","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.6815717176588"
"03_08_2022-17:32:34","\\usni25pxed\physicaldisk(_total)\% idle time","98.6815717176588"
"03_08_2022-17:32:34","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0.0005442"
"03_08_2022-17:32:34","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000429085185185185"
"03_08_2022-17:32:34","\\usni25pxed\memory\pages/sec","33.840934073481"
"03_08_2022-17:32:34","\\usni25pxed\memory\available mbytes","20809"
"03_08_2022-17:32:34","\\usni25pxed\processor(_total)\% processor time","5.12299494092168"
"03_08_2022-17:32:34","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","15791.7723532309"
"03_08_2022-17:32:34","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:34","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:34","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:34","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:34","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0121484374572276"
"03_08_2022-17:32:34","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0121484374572276"
"03_08_2022-17:32:35","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.3975411557408"
"03_08_2022-17:32:35","\\usni25pxed\physicaldisk(_total)\% idle time","98.3975411557408"
"03_08_2022-17:32:35","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:35","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00023585"
"03_08_2022-17:32:35","\\usni25pxed\memory\pages/sec","8.00018000405009"
"03_08_2022-17:32:35","\\usni25pxed\memory\available mbytes","20760"
"03_08_2022-17:32:35","\\usni25pxed\processor(_total)\% processor time","15.8187947383053"
"03_08_2022-17:32:35","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","8624.194044366"
"03_08_2022-17:32:35","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:35","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:35","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:35","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:35","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0161970915476479"
"03_08_2022-17:32:35","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0161970915476479"
"03_08_2022-17:32:36","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.8586813351192"
"03_08_2022-17:32:36","\\usni25pxed\physicaldisk(_total)\% idle time","98.8586813351192"
"03_08_2022-17:32:36","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:36","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000498729166666667"
"03_08_2022-17:32:36","\\usni25pxed\memory\pages/sec","0.976540565983381"
"03_08_2022-17:32:36","\\usni25pxed\memory\available mbytes","20718"
"03_08_2022-17:32:36","\\usni25pxed\processor(_total)\% processor time","14.3739463380065"
"03_08_2022-17:32:36","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","17265.2372065862"
"03_08_2022-17:32:36","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:36","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:36","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:36","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:36","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0117128450440954"
"03_08_2022-17:32:36","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0117128450440954"
"03_08_2022-17:32:37","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.7765881320783"
"03_08_2022-17:32:37","\\usni25pxed\physicaldisk(_total)\% idle time","98.7765881320783"
"03_08_2022-17:32:37","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:37","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000345122857142857"
"03_08_2022-17:32:37","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:37","\\usni25pxed\memory\available mbytes","20666"
"03_08_2022-17:32:37","\\usni25pxed\processor(_total)\% processor time","15.7939837766456"
